"","vertical","hq","hq_inv","success","founding_year","end_date","foreign_funding_all","same_country_funding","median_funding","funding_usd","regional_funding","employees","team","months_to_first_round","months_between_first_and_last_round","avg_months_between_rounds","total_raised","funding_rounds","n_investors","exp_years","exp_years_categ","cofounders","entrep_exp_years","employments_before_entrep","age","entrep_age","n_entrep_founded","hundred_employees","business","entrep","finance","marketing","maths_eng","pmanag","research","sales","soft","manager_exp","clevel_exp","engineering_exp","sales_exp","finance_exp","human_capital_exp","consulting_exp","founder_exp","field_of_study","foreign_exp"
"1","E-Commerce and Marketplaces / On Demand or Delivery Platforms","Colombia","Colombia","Successful",2017-01-01,NA,"No","Yes",8500000,12000000,"Yes",140,"Co-Founder Team",32,39.4,22.8666666666667,65150000,4,6,23,"Entre 10 y 15 años","2",12,14,39.5,33.5,0,2,2,0,0,2,1,2,2,0,0,2,2,0,2,1,0,0,0,NA,1
"2","FinTech","Brazil","Brazil","Successful",2019-01-01,NA,"No","Yes",27850000,10000000,"Yes",150,"Co-Founder Team",4.36666666666667,29.7333333333333,-10.6166666666667,180200000,4,2,54,"Más de 15 años","2",12,13,40,36,7,3,2,2,1,2,1,2,2,0,2,1,3,1,0,1,0,0,3,"STEM",1
"3","HR Tech","Colombia","Chile","Successful",2020-01-01,NA,"Yes","No",2850000,300000,"Yes",366,"Solo Founder",9.33333333333333,14.1333333333333,2.16666666666667,26000000,4,3,8,"Entre 5 y 10 años","1",3,4,33,30,0,1,1,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,"Non-STEM",1
"4","HealthTech & Wellness","Brazil",NA,"Successful",2013-01-01,NA,NA,NA,280000,390000,"No",59,"Co-Founder Team",70.5,6.23333333333333,2.16666666666667,105420000,4,5,3,"Entre 2 y 5 años","3",10,1,37,27,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,"STEM",0
"5","Transportation / Mobility / Logistics","Brazil","United States","Successful",2014-01-01,NA,"Yes","No",5010000,32000000,"No",24,"Co-Founder Team",24.3333333333333,60.1,-0.825000000000001,37040000,6,3,18,"Entre 5 y 10 años","2",18,9,37.5,28.5,2,2,2,2,2,1,0,2,1,0,1,2,2,2,0,1,0,2,2,"Non-STEM",1
"6","FinTech","Mexico","United States","Successful",2013-01-01,NA,"Yes","No",41425000,250000000,"No",886,"Co-Founder Team",21.2666666666667,92.8333333333333,4.47272727272727,815590000,13,2,13,"Entre 5 y 10 años","2",20,5,38.5,28.5,1,2,1,1,0,0,1,1,0,0,1,0,2,1,0,0,0,1,0,NA,1
"7","E-Commerce and Marketplaces / On Demand or Delivery Platforms","Mexico","United States","Successful",2014-01-01,NA,"Yes","No",10850000,2500000,"No",203,"Co-Founder Team",12.3333333333333,81.4666666666667,-3.725,89550000,6,1,11,"Entre 5 y 10 años","3",18,7,36,27,2,1,1,1,1,1,1,1,0,0,1,1,2,0,0,1,0,0,1,"Non-STEM",1
"8","Information Technology services","Brazil","United States","Successful",2020-01-01,NA,"Yes","No",680000,130000,"No",110,"Solo Founder",12.2,12.2333333333333,-3.76666666666667,564500000,3,1,8,"Entre 5 y 10 años","1",3,4,27,24,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,"STEM",1
"9","HR Tech","Chile","United States","Successful",2016-01-01,NA,"Yes","No",35000000,50000000,"No",219,"Co-Founder Team",30.5333333333333,55.4666666666667,95.0666666666667,85080000,3,2,5,"Entre 5 y 10 años","2",7,2,35,28,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,"STEM",1
"10","Transportation / Mobility / Logistics","Colombia","Chile","Successful",2021-01-01,NA,"Yes","No",3000000,1000000,"Yes",800,"Co-Founder Team",10.4,14.7,-15.1666666666667,80350000,3,1,15,"Más de 15 años","3",2,6,39,37,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,"STEM",0
